command:	/home/icgc/WORK/adachi/TOOL/revisePckg/clone0308_callallSV/script/pe/detectGR -i .list.sam.tumor -l 1510 -ni .list.sam.normal -nl 1410 32
Job start:	20230524_20-00-42

log: tumor_stp4trans_rr-6/10	 [	9 cluster,	filesize =	507748 ] generated
log: tumor_stp4trans_ff-7/10	 [	10 cluster,	filesize =	578643 ] generated
log: tumor_stp4trans_fr-4/10	 [	9 cluster,	filesize =	555 ] generated
log: tumor_stp4trans_rr-7/10	 [	9 cluster,	filesize =	507748 ] generated
log: tumor_stp4inv-5/20	 [	6 cluster,	filesize =	362 ] generated
log: tumor_stp4inv-6/20	 [	7 cluster,	filesize =	420 ] generated
log: tumor_stp4del-7/13	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp4trans_fr-5/10	 [	9 cluster,	filesize =	531777 ] generated
log: tumor_stp4trans_ff-8/10	 [	8 cluster,	filesize =	472215 ] generated
log: tumor_stp4del-8/13	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp4trans_fr-6/10	 [	9 cluster,	filesize =	531777 ] generated
log: tumor_stp4tdm-7/13	 [	5 cluster,	filesize =	334 ] generated
log: tumor_stp4trans_rr-8/10	 [	9 cluster,	filesize =	507748 ] generated
log: tumor_stp4del-9/13	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp4tdm-8/13	 [	5 cluster,	filesize =	302159 ] generated
log: tumor_stp4del-10/13	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp4trans_fr-7/10	 [	9 cluster,	filesize =	531777 ] generated
log: tumor_stp4inv-7/20	 [	6 cluster,	filesize =	318075 ] generated
log: tumor_stp4inv-8/20	 [	7 cluster,	filesize =	391123 ] generated
log: tumor_stp4tdm-9/13	 [	5 cluster,	filesize =	302159 ] generated
log: tumor_stp4tdm-10/13	 [	5 cluster,	filesize =	302159 ] generated
log: tumor_stp4del-11/13	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp4trans_ff-9/10	 [	10 cluster,	filesize =	578643 ] generated
log: tumor_stp4del-12/13	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp4tdm-11/13	 [	3 cluster,	filesize =	188650 ] generated
log: tumor_stp4trans_fr-8/10	 [	6 cluster,	filesize =	357063 ] generated
log: tumor_stp4inv-9/20	 [	6 cluster,	filesize =	401 ] generated
log: tumor_stp4trans_rr-9/10	 [	9 cluster,	filesize =	507748 ] generated
log: tumor_stp4tdm-12/13	 [	5 cluster,	filesize =	302159 ] generated
log: tumor_stp4inv-10/20	 [	7 cluster,	filesize =	460 ] generated
log: tumor_stp4trans_fr-9/10	 [	9 cluster,	filesize =	531777 ] generated
log: tumor_stp4del-13/13	 [ filesize =	0 ] generated
log: tumor_stp4inv-11/20	 [	6 cluster,	filesize =	318075 ] generated
log: tumor_stp4inv-12/20	 [	7 cluster,	filesize =	391123 ] generated
log: tumor_stp4trans_ff-10/10	 [ filesize =	95027 ] generated
log: tumor_stp4trans_rr-10/10	 [ filesize =	83224 ] generated
log: tumor_stp4inv-13/20	 [	6 cluster,	filesize =	318075 ] generated
log: tumor_stp4inv-14/20	 [	7 cluster,	filesize =	391123 ] generated
log: tumor_stp4tdm-13/13	 [ filesize =	96814 ] generated
log: tumor_stp4trans_fr-10/10	 [ filesize =	87609 ] generated
log: tumor_stp4inv-15/20	 [	3 cluster,	filesize =	146459 ] generated
